station_name,address,slow_count,fast_count,station_ids,n_ids,confidence,prefixes
부산남부경찰서,부산광역시 남구 황령대로319번가길 81,0,2,ME22C256;BNOH3901;ST601309,3,다른 사업자(강한 의심),BNOH;ME;ST
전민동 제2공영주차장,대전광역시 유성구 전민동 346-3전민동 제2공영주차장,2,0,IVDJNJM2;NEDJNJM2,2,다른 사업자(강한 의심),IVDJNJM;NEDJNJM
대전광역시 유성구 죽동 공영주차장,대전광역시 유성구 북유성대로 172죽동 공영주차장 2~3층,6,1,IVDJNJUK;NEDJNJUK,2,다른 사업자(강한 의심),IVDJNJUK;NEDJNJUK
구암동677 공영주차장,대전광역시 유성구 구암동 677공영주차장,2,0,IVDJNKO6;NEDJNKO6,2,다른 사업자(강한 의심),IVDJNKO;NEDJNKO
중리구봉 공영주차장,대전광역시 대덕구 중리동 164-5중리구봉 공영주차장,2,0,IVDJNKOO;NEDJNKOO,2,다른 사업자(강한 의심),IVDJNKOO;NEDJNKOO
교촌동636-1 공영주차장,대전광역시 유성구 교촌동 636-1교촌동636-1 공영주차장,2,0,IVDJNKY6;NEDJNKY6,2,다른 사업자(강한 의심),IVDJNKY;NEDJNKY
금강로하스 산호빛공원 공영주차장,대전광역시 대덕구 대덕대로1527번길 200금강로하스 산호빛공원 공영주차장,2,0,IVDJNLOA;NEDJNLOA,2,다른 사업자(강한 의심),IVDJNLOA;NEDJNLOA
대덕산업단지 공영주차장(문평동),대전광역시 대덕구 문평동로 16공영주차장,2,1,IVDJNMON;NEDJNMON,2,다른 사업자(강한 의심),IVDJNMON;NEDJNMON
대덕구 산중골 공영주차장(읍내동),대전광역시 대덕구 계족로740번길 114공영주차장,2,1,IVDJNMOU;NEDJNMOU,2,다른 사업자(강한 의심),IVDJNMOU;NEDJNMOU
한국폴리텍대학 대전캠퍼스 주차장,대전광역시 동구 우암로 352-21가람관 앞 주차장,2,0,IVDJNPOL;NEDJNPOL,2,다른 사업자(강한 의심),IVDJNPOL;NEDJNPOL
대전광역시 유성구 신성동 제1공영주차장,대전광역시 유성구 신성동 137-2제1공영주차장,2,0,IVDJNSI1;NEDJNSI1,2,다른 사업자(강한 의심),IVDJNSI;NEDJNSI
대전광역시 유성구 신성동 제2공영주차장,대전광역시 유성구 신성동211-2제2공영주차장,3,0,IVDJNSIN;NEDJNSIN,2,다른 사업자(강한 의심),IVDJNSIN;NEDJNSIN
신탄진 공영주차장,대전광역시 대덕구 신탄진로810번길 19신탄진 공영주차장,2,0,IVDJNSIT;NEDJNSIT,2,다른 사업자(강한 의심),IVDJNSIT;NEDJNSIT
대전광역시 유성구 송강동(GS) 공영주차장,대전광역시 유성구 구즉로58번길 15-12송강동(GS) 공영주차장,2,0,IVDJNSO1;NEDJNSO1,2,다른 사업자(강한 의심),IVDJNSO;NEDJNSO
대전광역시 유성구 송강동(프라자) 공영주차장,대전광역시 유성구 봉산로 27공영주차장,3,0,IVDJNSO2;NEDJNSO2,2,다른 사업자(강한 의심),IVDJNSO;NEDJNSO
송촌 공영 주차장,대전광역시 대덕구 송촌동 478-1송촌 공영 주차장,2,0,IVDJNSO3;NEDJNSO3,2,다른 사업자(강한 의심),IVDJNSO;NEDJNSO
송촌 먹자골목 공영주차장,대전광역시 대덕구 송촌북로20번길 27-14송촌 먹자골목 공영주차장,2,1,IVDJNSO4;NEDJNSO4,2,다른 사업자(강한 의심),IVDJNSO;NEDJNSO
송촌대양 공영주차장,대전광역시 대덕구 계족산로36번길 70송촌대양 공영주차장,2,0,IVDJNSON;NEDJNSON,2,다른 사업자(강한 의심),IVDJNSON;NEDJNSON
대전광역시 유성구 수통골 공영주차장,대전광역시 유성구 수통골로 37공영주차장,6,1,IVDJNSOO;NEDJNSOO,2,다른 사업자(강한 의심),IVDJNSOO;NEDJNSOO
유성 종합스포츠센터,대전광역시 유성구 신성동352-5스포츠센터 주차장,2,0,IVDJNSPO;NEDJNSPO,2,다른 사업자(강한 의심),IVDJNSPO;NEDJNSPO
대전광역시 유성구 원내동 공영주차장,대전광역시 유성구 진잠로66번길 45공영주차장,4,1,IVDJNWON;NEDJNWON,2,다른 사업자(강한 의심),IVDJNWON;NEDJNWON
대전광역시 유성구 유성IC 만남의광장,대전광역시 유성구 월드컵대로 31공영주차장,9,1,IVDJNYIC;NEDJNYIC,2,다른 사업자(강한 의심),IVDJNYIC;NEDJNYIC
용산동624 공영주차장,대전광역시 유성구 용산동624공영주차장,2,0,IVDJNYS6;NEDJNYS6,2,다른 사업자(강한 의심),IVDJNYS;NEDJNYS
유한킴벌리 대전공장,대전광역시 대덕구 문평동 41-1 유한킴벌리(주)대전공장,10,0,IVDJNYUH;NEDJNYUH,2,다른 사업자(강한 의심),IVDJNYUH;NEDJNYUH
옥토빌딩,대전광역시 유성구 대덕대로 582지하 2층,1,0,IVDJOKTO;NEDJOKTO,2,다른 사업자(강한 의심),IVDJOKTO;NEDJOKTO
중구 선화동 제2공영,대전광역시 중구 대종로517번길 48중구 선화동 제2공영,2,0,IVDJSH2P;NEDJSH2P,2,다른 사업자(강한 의심),IVDJSH;NEDJSH
중구 선화동 제5공영,대전광역시 중구 중앙로79번길 63중구 선화동 제5공영,2,0,IVDJSH5P;NEDJSH5P,2,다른 사업자(강한 의심),IVDJSH;NEDJSH
석교동제4노외공영주차장,대전광역시 중구 석교동 61-7중구 석교동 제4노외공영주차장,2,0,IVDJSKPP;NEDJSKPP,2,다른 사업자(강한 의심),IVDJSKPP;NEDJSKPP
우송정보대학교,대전광역시 동구 백룡로57번길 27주차장,3,0,IVDJWSNG;NEDJWSNG,2,다른 사업자(강한 의심),IVDJWSNG;NEDJWSNG
대전광역시 유성구 관평동 제1공영주차장,대전광역시 유성구 관평동 1175제1공영주차장,2,1,IVGWANP1;NEGWANP1,2,다른 사업자(강한 의심),IVGWANP;NEGWANP
대전광역시 유성구 관평동 제2공영주차장,대전광역시 유성구 관평동 734제2공영주차장,2,0,IVGWANP2;NEGWANP2,2,다른 사업자(강한 의심),IVGWANP;NEGWANP
대전광역시 유성구 관평동 제4공영주차장,대전광역시 유성구 관평동 932제4공영주차장,2,0,IVGWANP4;NEGWANP4,2,다른 사업자(강한 의심),IVGWANP;NEGWANP
대전광역시 유성구 관평동 제5공영주차장,대전광역시 유성구 관평동 1052제5공영주차장,2,1,IVGWANP5;NEGWANP5,2,다른 사업자(강한 의심),IVGWANP;NEGWANP
맑은아침아파트,대전광역시 서구 갈마로 262,5,0,LU000455;PW100954,2,다른 사업자(강한 의심),LU;PW
효성삼환아파트,울산광역시 북구 통샘10길 9,17,0,HE240518;LU101089,2,다른 사업자(강한 의심),HE;LU
